Date;Location;SKU;Quantity
31/01/2025;ASDF;1994330;380
31/01/2025;ASDF;1994330;100
30/01/2025;ASDF;1994330;340
29/01/2025;ASDF;1994330;320
28/01/2025;ASDF;1994330;560
28/01/2025;ASDF;1994330;800
27/01/2025;ASDF;1994330;40
24/01/2025;ASDF;1994330;700
24/01/2025;ASDF;1994330;700
23/01/2025;ASDF;1994330;1140
22/01/2025;ASDF;1994330;920
21/01/2025;ASDF;1994330;1140
20/01/2025;ASDF;1994330;200
18/01/2025;ASDF;1994330;140
17/01/2025;ASDF;1994330;100
17/01/2025;ASDF;1994330;60
16/01/2025;ASDF;1994330;1400
16/01/2025;ASDF;1994330;1180
15/01/2025;ASDF;1994330;240
15/01/2025;ASDF;1994330;340
14/01/2025;ASDF;1994330;920
13/01/2025;ASDF;1994330;1200
13/01/2025;ASDF;1994330;20
11/01/2025;ASDF;1994330;20
10/01/2025;ASDF;1994330;1620
10/01/2025;ASDF;1994330;480
09/01/2025;ASDF;1994330;1160
09/01/2025;ASDF;1994330;1420
08/01/2025;ASDF;1994330;600
07/01/2025;ASDF;1994330;340
07/01/2025;ASDF;1994330;1660
06/01/2025;ASDF;1994330;1600
04/01/2025;ASDF;1994330;160
03/01/2025;ASDF;1994330;700
03/01/2025;ASDF;1994330;200
02/01/2025;ASDF;1994330;60
28/01/2025;XTRG;1994330;100
22/01/2025;XTRG;1994330;140
17/01/2025;XTRG;1994330;20
16/01/2025;XTRG;1994330;40
15/01/2025;XTRG;1994330;20
14/01/2025;XTRG;1994330;60
10/01/2025;XTRG;1994330;20
06/01/2025;XTRG;1994330;40
02/01/2025;XTRG;1994330;220
31/01/2025;WSXD;1994330;160
30/01/2025;WSXD;1994330;120
29/01/2025;WSXD;1994330;320
27/01/2025;WSXD;1994330;120
24/01/2025;WSXD;1994330;100
23/01/2025;WSXD;1994330;340
22/01/2025;WSXD;1994330;280
21/01/2025;WSXD;1994330;300
17/01/2025;WSXD;1994330;80
16/01/2025;WSXD;1994330;100
15/01/2025;WSXD;1994330;200
14/01/2025;WSXD;1994330;80
13/01/2025;WSXD;1994330;20
10/01/2025;WSXD;1994330;260
09/01/2025;WSXD;1994330;460
08/01/2025;WSXD;1994330;320
06/01/2025;WSXD;1994330;140
03/01/2025;WSXD;1994330;380
02/01/2025;WSXD;1994330;160
31/01/2025;ZAQC;1994330;1960
30/01/2025;ZAQC;1994330;1480
29/01/2025;ZAQC;1994330;200
28/01/2025;ZAQC;1994330;1020
27/01/2025;ZAQC;1994330;1040
24/01/2025;ZAQC;1994330;180
23/01/2025;ZAQC;1994330;1800
22/01/2025;ZAQC;1994330;660
21/01/2025;ZAQC;1994330;1300
18/01/2025;ZAQC;1994330;520
16/01/2025;ZAQC;1994330;1580
15/01/2025;ZAQC;1994330;1340
14/01/2025;ZAQC;1994330;1040
13/01/2025;ZAQC;1994330;180
10/01/2025;ZAQC;1994330;280
09/01/2025;ZAQC;1994330;560
08/01/2025;ZAQC;1994330;500
07/01/2025;ZAQC;1994330;440
06/01/2025;ZAQC;1994330;20
03/01/2025;ZAQC;1994330;640
